Quantidade;Preco_Real;Preco_Previsto
39;4.49;134.04734691492996
263;94.43;115.78059586181172
169;142.97;123.44610746445956
8;45.55;136.5753347838883
921;31.45;62.122014643276856
906;231.05;63.3452345798696
459;7.95;99.79718869033324
770;38.28;74.43576200497711
938;37.49;60.73569871513841
25;28.07;135.18901885574985
763;24.6;75.00659797538705
649;16.28;84.30306949349188
69;28.68;131.60090704174448
677;2.75;82.0197256118521
100;16.54;129.07291917278616
784;41.18;73.29409006415722
358;46.33;108.03353626339103
174;7.1;123.0383674855953
806;4.37;71.50003415715453
476;12.67;98.4108727621948
629;80.64;85.93402940894886
534;30.29;93.68108900736954
646;16.4;84.54771348081042
675;31.0;82.1828216033978
528;47.56;94.17037698200664
410;7.79;103.79304048320287
479;1.73;98.16622877487626
512;14.28;95.47514491437224
128;10.32;126.78957529114638
738;0.25;77.04529786970828
47;1.45;133.39496294874718
40;0.8;133.96579891915712
18;35.58;135.7598548261598
49;211.58;133.23186695720148
207;34.34;120.34728362509128
384;137.02;105.91328837329695
874;1348.21;65.95477044460077
497;6.59;96.69836485096496
722;6.16;78.35006580207387
331;1.08;110.23533214925796
509;35.78;95.71978890169078
428;270.63;102.32517655929158
539;1.23;93.2733490285053
214;29.51;119.77644765468133
716;27.84;78.83935377671096
3;172.27;136.98307476275255
395;26.09;105.0162604197956
294;10.19;113.25260799285338
1;102.38;137.14617075429825
29;262.07;134.86282687265847
911;1.01;62.93749460100534
2;45.81;137.0646227585254
53;236.85;132.90567497411007
831;18.53;69.46133426283329
4;1.88;136.90152676697969
991;45.54;56.41365493917739
642;76.58;84.87390546390182
31;11.43;134.69973088111277
773;25.74;74.19111801765855
72;16.55;131.35626305442594
803;190.82;71.74467814447307
24;63.01;135.27056685152272
32;250.36;134.6181828853399
242;56.3;117.49310377304155
488;26.71;97.43229681292061
143;1.52;125.56635535455364
64;6.77;132.00864702060872
307;1.16;112.19248404780635
677;98.86;82.0197256118521
823;5.33;70.11371822901609
138;28.91;125.97409533341788
679;12.32;81.85662962030639
94;19.46;129.56220714742327
17;130.33;135.84140282193266
528;8.5;94.17037698200664
79;18.18;130.785427084016
20;5.94;135.5967588346141
627;29.18;86.09712540049455
956;59.66;59.26783479122713
5;42.48;136.81997877120685
29;18.36;134.86282687265847
466;29.34;99.2263527199233
346;9.85;109.01211221266522
269;41.96;115.29130788717461
267;39.21;115.45440387872031
20;31.67;135.5967588346141
37;25.37;134.21044290647566
33;141.19;134.53663488956707
242;14.85;117.49310377304155
817;0.73;70.60300620365318
626;31.42;86.17867339626741
279;19.63;114.47582792944613
767;35.11;74.68040599229565
34;137.98;134.4550868937942
544;1.83;92.86560904964105
393;27.95;105.1793564113413
841;79.72;68.64585430510479
40;70.26;133.96579891915712
992;240.5;56.332106943404554
34;4.6;134.4550868937942
699;0.93;80.2256697048494
814;10.38;70.84765019097173
195;16.67;121.32585957436547
932;37.86;61.224986689775506
491;25.1;97.18765282560207
457;65.09;99.96028468187895
961;0.87;58.860094812362874
770;102.19;74.43576200497711
595;67.12;88.70666126522573
194;8.65;121.40740757013832
341;103.32;109.41985219152946
41;13.01;133.88425092338426
12;102.42;136.2491428007969
730;43.78;77.69768183589107
484;91.59;97.75848879601202
88;17.64;130.05149512206035
909;68.77;63.10059059255104
969;1.4;58.20771084618008
414;228.16;103.46684850011147
843;11.45;68.4827583135591
830;79.18;69.54288225860614
278;4.87;114.55737592521898
313;260.04;111.70319607316925
995;171.9;56.087462956086
172;17.45;123.201463477141
589;1.09;89.19594923986284
43;1.57;133.72115493183856
668;23.31;82.75365757380774
875;77.7;65.87322244882792
343;19.53;109.25675619998377
116;242.19;127.76815124042056
10;17.78;136.4122387923426
11;73.8;136.33069079656974
213;4.26;119.85799565045419
953;10.43;59.51247877854567
668;23.66;82.75365757380774
422;238.57;102.81446453392867
238;36.0;117.81929575613295
434;206.04;101.83588858465447
759;7.38;75.33278995847844
198;48.9;121.08121558704693
667;1.84;82.83520556958058
501;135.13;96.37217286787357
8;1376.09;136.5753347838883
252;46.31;116.67762381531305
20;0.78;135.5967588346141
822;12.85;70.19526622478894
381;291.34;106.15793236061549
773;32.26;74.19111801765855
224;27.16;118.96096769695284
347;72.1;108.93056421689238
124;104.71;127.11576727423777
565;170.36;91.15310113841122
746;0.7;76.39291390352548
342;14.88;109.33830419575662
709;17.43;79.41018974712091
687;0.85;81.2042456541236
814;131.4;70.84765019097173
914;14.28;62.6928506136868
657;31.88;83.65068552730907
102;0.84;128.90982318124045
509;411.84;95.71978890169078
253;245.76;116.5960758195402
305;23.81;112.35558003935205
41;1.28;133.88425092338426
847;23.21;68.1565663304677
